"int","exp_modulo","LIST_ID","INCHIKEY","FORMULA","SMILES","NumHDonors","NumHAcceptors","TYPE","MD","KMD","modulo","parent","rep_unit","rep_mass","rep_num","residual","residual_charge","residual_mass","MONOISOTOPIC_MASS","HS_num","Homologues","exp_KMD","mz","ret","PREFERRED_NAME","ACRONYM"
1989,0.969182031514038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.0307560617125091,600.930859311514,632.43,NA,NA
1936.5,0.964197753119947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.0357406584787441,700.91948791312,751.181,NA,NA
1300,0.967448023253951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.032490180732907,750.919544623254,779.486,NA,NA
1960,1.96662690773502,"PFASMASTER_Chemical List -2024-01-11.csv","SXDBUDJENJXVBJ-UHFFFAOYSA-N","C10H3Cl2F7N2O3","[O-][N+](=O)C1=CC(Cl)=C(NC(=O)C(F)(C(F)(F)F)C(F)(F)F)C=C1Cl",1,3,"Suspect",-0.059105,0.033430913,1.96644348,"C10H3Cl2F7N2O3","CF2",49.99680644,3,"C7H3F1N2O3Cl2","neutral",251.9504755,401.940895,2,5,0.0332474734209995,401.941078427735,286.0085,"N-(2,5-Dichloro-4-nitrophenyl)-2,3,3,3-tetrafluoro-2-(trifluoromethyl)propanamide",NA
775,1.96419060834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0.0356839284353327,451.93544856834,387.72,NA,NA
714.5,1.96337625735697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0.0364983314352685,501.931440657357,522.432,NA,NA
1189,1.96366839209998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0.0362061780319891,551.9285392321,602.458,NA,NA
709,1.96376108285199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0.0361134813595072,751.915857682852,780.718,NA,NA
713,3.51143428495902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.488341421193581,553.476305124959,641.973,NA,NA
4834,3.51041621320496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.489359557977195,653.468899933205,723.3235,NA,NA
541.5,3.51261123803795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.487164392936393,753.464707838038,785.647,NA,NA
538,7.62337036272402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0.3761426923611,857.569079842724,598.372,NA,NA
20664,7.62436300910497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0.375149982574612,907.566878929105,832.432,NA,NA
1058.5,7.62288662130004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0.37662646468425,1057.5558218613,838.585,NA,NA
3393,8.00736294849298,"PFASMASTER_Chemical List -2024-01-11.csv","BKOBFLVYTXYFQZ-OWOJBTEDSA-N","C8H2F12O2","OC(=O)\C=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1,1,"Suspect",-0.013683,-0.009183476,8.00867192,"C8H2F12O2","CF2",49.99680644,6,"C2H2O2","neutral",58.0054793,357.986317,5,3,-0.00787442104166303,357.985008028493,265.874,"(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",NA
2217,8.00611389814202,"PFASMASTER_Chemical List -2024-01-11.csv","XLWPSCROLZWCFY-UHFFFAOYNA-N","C9H4F14O5","OC(=O)COC(F)(F)C(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F",1,4,"Suspect",-0.016482,-0.012771825,8.01226004,"C9H4F14O5","CF2",49.99680644,7,"C2H4O5","neutral",108.0058732,457.983518,5,3,-0.00662529090726593,457.977371858142,470.671,"2-[1,1,2-Trifluoro-2-[1,1,2,2-tetrafluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)ethoxy]ethoxy]acetic acid",NA
3015,8.00522786225702,"OECDPFAS_list_22012019.csv","OGNPKTMXAFCAFU-UHFFFAOYSA-N","C12H2F20O2","OC(=O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1,1,"Suspect",-0.0264574,-0.009183316,8.00867176,"C12H2F20O2","CF2",49.99680644,10,"C2H2O2","neutral",58.0054793,557.9735426,5,3,-0.0057391984264541,557.970098702257,625.616,"3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Icosafluorododec-2-enoic acid",NA
13397,13.997930627551,"TargetsList_20240719.csv","ZWBAMYVPMDSJGQ-UHFFFAOYSA-N","C7HF13O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.9768954,6,9,0.00117525071362934,363.975575707551,267.375,"Perfluoroheptanoic acid","PFHpA"
