group	ret	mz	EC_022024	adduct	neutralMass
M110_R186_1	186.29	109.908498965327	113	[M-H]-	109.908498965327
M116_R134_2	133.77	116.083298931386	2862	[M-H]-	116.083298931386
M118_R186_3	186.29	117.979026288723	253	[M-H]-	117.979026288723
M126_R200_4	199.804	126.103771592509	243	[M-H]-	126.103771592509
M128_R254_5	253.863	128.002047563358	512	[M-H]-	128.002047563358
M128_R200_6	199.804	128.101472122543	1025.5	[M-H]-	128.101472122543
M129_R186_7	186.29	129.04191046212	359	[M-H]-	129.04191046212
M130_R254_8	253.863	129.999220999194	215	[M-H]-	129.999220999194
M130_R200_9	199.804	130.098698479284	7506	[M-H]-	130.098698479284
M131_R162_10	161.5575	131.094104176421	2427.5	[M-H]-	131.094104176421
M132_R183_11	183.288	131.963806674763	380.5	[M-H]-	131.963806674763
M142_R227_12	226.833	142.023582138423	4369	[M-H]-	142.023582138423
M142_R134_13	133.77	142.023665838667	3043	[M-H]-	142.023665838667
M144_R204_14	203.5575	144.096247460861	184	[M-H]-	144.096247460861
M145_R214_15	214.07	145.084966303916	2408.5	[M-H]-	145.084966303916
M146_R161_16	160.792	146.093589858893	861.5	[M-H]-	146.093589858893
M147_R185_17	184.789	147.067942343525	392.5	[M-H]-	147.067942343525
M148_R207_18	207.314	148.051374173455	305.5	[M-H]-	148.051374173455
M154_R188_21	187.791	154.026964902685	307	[M-H]-	154.026964902685
M154_R243_22	243.358	154.098655574124	1483	[M-H]-	154.098655574124
M156_R323_23	322.633	156.008242997704	3200.5	[M-H]-	156.008242997704
M156_R216_24	216.321	156.114096376554	2254.5	[M-H]-	156.114096376554
M157_R216_25	216.321	157.11739188107	174.5	[M-H]-	157.11739188107
M158_R213_26	212.5675	158.112006963722	9368	[M-H]-	158.112006963722
M159_R213_27	212.5675	159.114868316533	795	[M-H]-	159.114868316533
M160_R213_28	213.3185	160.122282734242	8464.5	[M-H]-	160.122282734242
M161_R200_29	199.804	161.112230706928	613	[M-H]-	161.112230706928
M163_R201_30	201.306	163.062244846545	931	[M-H]-	163.062244846545
M165_R161_31	160.833	165.0782624023	3860	[M-H]-	165.0782624023
M168_R230_36	229.837	168.077376252302	3161	[M-H]-	168.077376252302
M169_R214_38	214.0695	169.113650354635	990.5	[M-H]-	169.113650354635
M170_R200_40	199.804	170.093235407287	1316	[M-H]-	170.093235407287
M171_R243_41	243.358	171.133210957814	577	[M-H]-	171.133210957814
M172_R229_42	229.0855	172.127623668413	26184	[M-H]-	172.127623668413
